year,month,return
2018,1,0.04250175596353345
2018,2,0.08637876994477733
2018,3,0.03136614352317535
2018,4,-0.02255446558747387
2018,5,0.016522475726949537
2018,6,-0.016501147936878957
2018,7,0.029742700819245904
2018,8,-0.0320644483922804
2018,9,0.043192838437412284
2018,10,-0.09418485480028982
2018,11,0.016541584438108492
2018,12,0.03143544378256391
2019,1,0.010145186880945678
2019,2,0.17630565951793908
2019,3,0.05302845204305506
2019,4,-0.006770650559649982
2019,5,-0.04224811459247502
2019,6,0.05334855261352134
2019,7,0.05519173757239915
2019,8,0.011929445995244814
2019,9,0.019499263434203495
2019,10,-0.011317607888503667
2019,11,0.015917955117375593
2019,12,0.005378740787731706
2020,1,0.05639615433016032
2020,2,-0.010197606811495508
2020,3,-0.061381371151212005
2020,4,0.044907220546127835
2020,5,0.07313717352173654
2020,6,0.017093418118542036
2020,7,0.20442833406631955
2020,8,0.03705993295959864
2020,9,-0.0542720616426261
2020,10,0.01422005286345529
2020,11,0.042556389565688635
2020,12,0.1067969062553038
2021,1,0.10900631304296216
2021,2,0.09675144638382971
2021,3,0.010857412390339771
2021,4,-0.03267594987656064
2021,5,0.05621294225985407
2021,6,0.025062147879142183
2021,7,0.03333514194405773
2021,8,0.029056244809626097
2021,9,0.057824711489051106
2021,10,0.07797644217793276
2021,11,0.011247034213236473
2021,12,0.0666902464755017
2022,1,0.001667892675754512
